證券代號,公司名稱,市值(百萬元),年月,股本(億),收盤價(元),平均股價(元),營業收入(億),稅後淨利(億),營業利益率(%),ROE(%),稅後淨利率(%),ROA(%),M營業利益成長率,M稅後淨利成長率,PER,PBR,負債/淨值比,流動比率,速動比率,應收帳款周轉次,存貨周轉率,Return,年份,ReturnMean_year_Label,prediction_proba,訓練年份,測試年份,使用準則,最大深度,排名
1101,台泥,1357920.0,2011,369.0,35.0,36.8,1185,86.2,13.6,10.8,7.274261603375527,5.24,3.31,7.33,15.8,1.4,3.13,93.82,35.56,3.72,51.09,6.70731707317074,2011,1,1.0,2010,2011,gini,7,1
1314,中石化,685560.0,2011,197.0,26.95,34.8,439,109.0,12.4,32.4,24.82915717539863,21.9,8.96,72.8,6.29,1.79,6.32,295.4,228.5,4.34,41.14,-6.747404844290656,2011,1,1.0,2010,2011,gini,7,2
1304,台聚,339948.0000000001,2011,99.4,24.35,34.2,578,32.1,9.87,16.9,5.55363321799308,9.05,1.29,9.01,9.75,1.9,1.4,160.8,64.76,6.71,44.98,-16.60958904109588,2011,0,1.0,2010,2011,gini,7,3
1301,台塑,5875200.0,2011,612.0,80.8,96.0,2170,357.0,11.7,14.2,16.45161290322581,10.1,-18.5,-21.6,16.4,2.44,378.8,33.76,350.1,57.66,40.5,-17.12820512820513,2011,0,1.0,2010,2011,gini,7,4
1102,亞泥,1120980.0,2011,314.0,34.0,35.7,688,100.0,12.9,12.6,14.53488372093023,6.75,108.0,30.5,11.2,1.3,1.56,160.2,68.05,3.58,51.21,5.426356589147287,2011,1,0.3333333333333333,2010,2011,gini,7,5
1227,佳格,437088.0,2011,46.4,92.0,94.2,198,24.6,14.1,30.4,12.42424242424243,21.6,6.34,15.4,17.6,4.88,4.66,173.8,58.52,23.79,81.31,21.37203166226913,2011,1,0.3333333333333333,2010,2011,gini,7,6
1110,東泥,66924.0,2011,57.2,10.1,11.7,14.4,0.23,4.23,0.29,1.597222222222222,0.25,2.45,-53.6,293.0,0.82,14.5,274.8,168.2,4.1,2.81,-24.90706319702602,2011,0,0.0,2010,2011,gini,7,7
1201,味全,169004.0,2011,50.6,32.25,33.4,256,6.85,3.1,5.86,2.67578125,1.92,-0.56,-58.0,24.7,2.18,-2.75,76.99,32.93,31.88,88.13,-15.5759162303665,2011,1,0.0,2010,2011,gini,7,8
1216,統一,1870480.0,2011,454.0,44.25,41.2,3880,94.5,3.89,12.7,2.435567010309279,4.87,-12.7,-13.6,19.8,2.55,1.15,65.72,36.04,24.54,80.5,2.312138728323699,2011,1,0.0,2010,2011,gini,7,9
1109,信大,44205.0,2011,42.1,10.55,10.5,26.3,0.74,0.76,1.27,2.813688212927757,0.97,125.0,550.0,62.0,0.75,154.7,8.45,383.7,102.1,88.47,2.92682926829269,2011,1,0.0,2010,2011,gini,7,10
1101,台泥,1321020.0,2012,369.0,38.9,35.8,1137,77.8,11.6,7.38,6.842568161829375,3.73,-18.3,-9.69,17.0,1.32,4.19,96.1,38.23,3.99,57.78,11.14285714285714,2012,1,0.75,2011,2012,gini,3,1
1201,味全,166980.0,2012,50.6,36.15,33.0,266,8.09,4.44,6.16,3.041353383458647,1.91,48.6,18.1,20.6,2.08,-4.27,42.02,18.17,27.38,98.05,12.09302325581395,2012,1,0.75,2011,2012,gini,3,2
1305,華夏,49724.99999999999,2012,42.5,15.35,11.7,142,8.34,6.98,17.9,5.873239436619718,8.51,2135.0,1006.0,5.93,0.89,4.05,154.8,41.41,7.57,40.9,71.70022371364654,2012,1,0.75,2011,2012,gini,3,3
