test_year,stock_name,return
2000,黑松         ,-10.1695
2000,毅嘉         ,-3.1608
2000,中鼎         ,-10.1449
2000,新保         ,14.5299
2000,大台北       ,-9.3333
2000,鈺創         ,72.8899
2000,禾伸堂       ,46.1834
2000,思源         ,35.4037
2000,華新科       ,87.1128
2000,和桐         ,66.0714
2000,華紙         ,-31.7862
2000,永信         ,31.0943
2000,裕民         ,3.8462
2000,偉詮電       ,52.4904
2000,裕融         ,34.321
2000,榮化         ,-25.3119
2000,松翰         ,76.7668
2000,鑽全         ,8.2527
2000,大榮         ,-31.3319
2000,建碁         ,238.335
2000,飛宏         ,155.9271
2000,漢磊         ,-13.0854
2000,好樂迪       ,-31.7592
2000,中興電       ,1.4523
2000,嘉泥         ,5.6911
2000,光磊         ,46.7712
2000,雅新         ,177.3619
2000,太設         ,-1.956
2000,美隆電       ,54.0582
2000,致茂         ,33.1019
2000,友尚         ,28.4337
2000,華城         ,-17.7059
2000,第一金投     ,-4.1282
2000,訊連         ,11.6716
2000,燁輝         ,-30.4167
2000,所羅門       ,37.4582
2000,D 致伸       ,13.2794
2000,高林股       ,-25.3836
2000,燦坤         ,157.7938
2000,台南         ,13.1439
2000,福聚         ,52.3112
2000,敦南         ,79.0634
2000,遠雄港       ,-52.2515
2000,特力         ,63.6111
2000,大成         ,11.3426
2000,匯僑工業     ,-1.4594
2000,先豐         ,41.1231
2000,聯成         ,-4.5455
2000,燿華         ,19.0476
2000,慧智         ,35.2381
2000,三商電       ,41.6107
2000,昆盈         ,72.3642
2000,建大         ,-5.102
2000,劍湖山       ,-33.5557
2000,鴻準         ,88.7715
2000,冠德         ,-8.4668
2000,強茂         ,15.2062
2000,東泥         ,4.2857
2001,華邦電       ,-40.9677
2001,仁寶         ,0.0
2001,微星         ,-49.4284
2001,彩晶         ,-43.0066
2001,世界         ,-52.4987
2001,建興電       ,20.0347
2001,智邦         ,-50.3775
2001,台玻         ,12.624
2001,亞光         ,-15.9033
2001,普立爾       ,-3.6181
2001,建碁         ,-38.1733
2001,D 復盛       ,7.1197
2001,神達         ,-28.2708
2001,敦陽科       ,-57.1103
2001,中光電       ,-46.1036
2001,瑞軒         ,-16.405
2001,群光         ,-10.4196
2001,亞旭         ,-0.41894
2001,創見         ,16.414
2001,三商行       ,-33.8859
2001,百略         ,-52.0204
2001,敬鵬         ,-24.0684
2001,虹光         ,-52.1879
2001,迎廣         ,-64.2834
2001,云辰         ,-52.2576
2001,矽成         ,-63.4615
2001,崇越         ,-27.2886
2001,震旦行       ,-30.9271
2001,永信         ,-11.399
2001,特力         ,22.326
2001,新美齊       ,-67.4897
2001,毅嘉         ,-7.8051
2001,世紀         ,-57.6152
2001,致茂         ,-12.5217
2001,英群         ,-33.149
2001,昆盈         ,8.2484
2001,國聯         ,-4.4792
2001,建準         ,-42.1655
2001,農林         ,-28.9879
2001,中碳         ,28.9879
2001,南紡         ,78.3972
2001,永記         ,44.9467
2001,友通         ,-62.2526
2002,台塑         ,33.6138
2002,中鋼         ,56.1449
2002,友達         ,109.5993
2002,日月光       ,88.2466
2002,佳世達       ,33.1299
2002,宏碁         ,86.3248
2002,遠傳         ,20.4255
2002,華映         ,24.5445
2002,寶成         ,42.0615
2002,長榮         ,41.0156
2002,遠東新       ,54.4073
2002,建興電       ,51.374
2002,華航         ,9.1333
2002,統一         ,33.1845
2002,英業達       ,9.7735
2002,萬海         ,29.5868
2002,中環         ,88.4821
2002,長榮航       ,-2.3832
2002,聯強         ,0.0
2002,彩晶         ,25.7005
2002,矽品         ,105.814
2002,錸德         ,39.9858
2002,亞泥         ,41.9505
2002,台泥         ,64.6341
2002,普立爾       ,21.4225
2002,宏達電       ,6.069
2002,廣輝         ,41.5199
2002,陽明         ,168.4874
2002,福懋         ,5.3635
2002,東元         ,16.2568
2002,金寶         ,22.6433
2002,年興         ,11.4525
2002,研華         ,11.556
2002,和泰         ,44.8034
2002,雅新         ,77.8157
2002,台苯         ,17.8231
2002,統一實       ,4.2042
2002,欣興         ,48.1887
2002,華宇         ,11.5191
2002,神達         ,15.5612
2002,潤泰全       ,-6.5369
2002,勝華         ,29.2453
2002,精業         ,32.6677
2002,正崴         ,24.596
2002,永豐餘       ,59.5365
2002,國建         ,77.7603
2002,東陽         ,73.2415
2002,聲寶         ,35.1715
2002,豐泰         ,27.7822
2002,嘉泥         ,36.519
2002,中鼎         ,55.4409
2002,燦坤         ,12.1743
2002,士電         ,14.4917
2002,大陸         ,31.6045
2002,和桐         ,-2.6138
2002,美隆電       ,0.40177
2002,精碟         ,89.7122
2002,敦陽科       ,-11.1702
2002,億光         ,90.9745
2002,中纖         ,116.8337
2002,遠百         ,67.3267
2002,台聚         ,38.2353
2002,裕民         ,203.0769
2002,新纖         ,45.3846
2002,三商行       ,-5.3159
2002,楠梓電       ,15.3581
2002,東鋼         ,34.9073
2002,華立         ,20.8175
2002,京元電       ,118.5229
2002,永記         ,-6.2369
2002,D 致伸       ,8.5949
2002,益登         ,-1.0933
2002,環電         ,39.5899
2002,和鑫         ,63.6494
2002,統領         ,-15.5434
2002,友尚         ,16.3624
2002,中石化       ,21.9807
2002,廣宇         ,15.9409
2002,中碳         ,35.3421
2002,泰豐         ,26.2745
2002,禾伸堂       ,33.0239
2002,偉詮電       ,-0.51414
2002,全家         ,60.01
2002,成霖         ,-9.7892
2002,精元         ,14.4223
2002,崇越         ,26.259
2002,佳能         ,21.7266
2002,榮化         ,19.9673
2003,台積電       ,-7.2931
2003,聯電         ,-23.6632
2003,台塑化       ,24.5763
2003,鴻海         ,30.9336
2003,南亞         ,9.3384
2003,台塑         ,7.2428
2003,中鋼         ,45.4018
2003,台化         ,20.1285
2003,廣達         ,-21.4692
2003,聯發科       ,-15.317
2003,友達         ,25.6073
2003,仁寶         ,-21.6583
2003,日月光       ,-27.1238
2003,D 奇美電     ,39.114
2003,宏碁         ,17.2195
2003,力晶         ,56.5217
2003,彩晶         ,-19.2929
2003,廣輝         ,14.7348
2003,台泥         ,32.5926
2003,亞光         ,-8.9117
2003,大同         ,45.9302
2003,旺宏         ,-6.5065
2003,國巨         ,-24.5513
2003,D 復盛       ,-0.5099
2003,大立光       ,-38.3011
2003,緯創         ,-39.1873
2003,京元電       ,-31.706
2003,東聯         ,-0.56497
2003,福懋         ,21.4932
2003,東元         ,-4.4653
2003,鼎創達       ,-64.3464
2003,國建         ,55.8119
2003,台肥         ,74.4707
2003,可成         ,6.1502
2003,永豐餘       ,37.9888
2003,飛瑞         ,4.1205
2003,創見         ,19.7101
2003,勝華         ,25.772
2003,力成         ,49.831
2003,神達         ,24.7241
2003,中鼎         ,-20.8208
2003,南紡         ,13.6471
2003,統一實       ,5.9078
2003,中保         ,29.642
2003,遠百         ,47.4556
2003,長興         ,11.391
2003,毅嘉         ,-6.6997
2003,新纖         ,13.0952
2003,建大         ,-1.2618
2003,遠雄         ,64.7555
2003,東森         ,5.1313
2003,華紙         ,2.9977
2003,晶電         ,-41.5612
2003,東鋼         ,96.0
2003,世平         ,-17.4653
2003,新興         ,80.6288
2003,環電         ,-6.4407
2003,立錡         ,-48.873
2003,佳能         ,-43.7352
2003,中石化       ,37.4257
2003,鑽全         ,21.9713
2003,智冠         ,-30.9223
2003,美隆電       ,-29.6118
2003,中碳         ,26.9017
2003,威達電       ,-42.4212
2003,華晶科       ,-46.4075
2003,建碁         ,-55.1528
2003,泰豐         ,-18.323
2003,特力         ,-1.107
2004,中華電       ,-1.7327
2004,台塑化       ,13.6871
2004,鴻海         ,51.011
2004,聯電         ,1.1583
2004,中鋼         ,-16.0684
2004,南亞         ,6.9848
2004,台化         ,4.1295
2004,台塑         ,7.6672
2004,友達         ,20.7356
2004,華碩         ,35.7677
2004,台灣大       ,-12.5916
2004,D 奇美電     ,31.8767
2004,遠傳         ,3.915
2004,華映         ,-20.6151
2004,日月光       ,38.9747
2004,遠東新       ,-2.755
2004,台達電       ,33.7105
2004,佳世達       ,-3.2342
2004,長榮         ,-11.9318
2004,陽明         ,-21.6995
2004,寶成         ,-12.4021
2004,統一         ,-3.6004
2004,台泥         ,22.2067
2004,矽品         ,95.1904
2004,華邦電       ,-19.5984
2004,中華         ,-10.5772
2004,中環         ,-28.3537
2004,裕隆         ,2.9402
2004,亞泥         ,-0.55777
2004,統一超       ,41.6292
2004,建興電       ,-23.0165
2004,正新         ,-20.0334
2004,聯強         ,-2.0372
2004,裕民         ,-12.7823
2004,英業達       ,47.8824
2004,D 復盛       ,3.4368
2004,裕日車       ,27.3867
2004,合勤         ,-0.5423
2004,D 台固       ,12.0879
2004,福懋         ,9.6834
2004,燁輝         ,-45.844
2004,中鴻         ,-58.8644
2004,永豐餘       ,-26.1538
2004,力成         ,78.7625
2004,華寶         ,177.2092
