證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用K值,排名
2394,普立爾       ,200012,10300,15.5,0.620958643935308,0.7643,0.43091,0.10147,0.15003,0.090638,0.086585,0.47855,208.79,138.98,7.02,11.01,8.61,32.47,137.1613,1,2000,0.7142857142857143,1999,2000,21,6
2392,正崴         ,200012,8190,19.96,0.513377418587575,0.65122,0.54107,0.078975,0.10574,0.091558,0.087837,0.33894,208.92,125.02,5.3,3.99,21.57,76.22,101.7535,1,2000,0.7142857142857143,1999,2000,21,7
2377,微星         ,200012,12018,10.29,0.270294332292698,0.34705,0.11978,0.12009,0.25012,0.086187,0.086325,1.0828,159.14,107.88,7.38,8.96,38.4,55.5,401.5549,1,2000,0.7142857142857143,1999,2000,21,8
2618,長榮航       ,200012,30240,11.18,0.484296511212103,0.74286,0.4305,0.023274,0.07945,0.090935,0.046044,2.4136,85.28,39.01,0.0,10.27,26.22,115.48,12.0751,-1,2000,0.7142857142857143,1999,2000,21,9
2457,飛宏         ,200012,5002,9.87,0.184194097515527,0.49375,0.21,0.12206,0.22837,0.093833,0.09713,0.87105,232.35,171.15,5.09,4.28,-7.76,8.56,155.9271,1,2000,0.7142857142857143,1999,2000,21,10
2201,裕隆         ,200112,28138,10.92,0.758099275289454,0.51485,0.4569,0.046543,0.080312,0.077124,0.074534,0.72554,145.94,112.03,6.48,2.71,-11.03,-10.09,161.3553,1,2001,1.0,2000,2001,3,1
1726,永記         ,200112,5046,19.69,0.814539772900651,0.82836,0.6317,0.10952,0.14264,0.12473,0.10882,0.30244,361.39,239.19,4.71,4.13,-17.72,31.5,44.9467,1,2001,1.0,2000,2001,3,2
2347,聯強         ,200112,27121,14.99,0.432642326147101,0.57587,0.13077,0.055723,0.095334,0.02506,0.021824,0.71085,181.3,125.89,11.01,7.91,-26.75,-6.53,28.3522,1,2001,1.0,2000,2001,3,3
1311,福聚         ,200112,6083,13.51,0.120187017987081,0.89589,0.50392,0.056127,0.07109,0.049293,0.039996,0.2666,308.83,169.2,6.65,19.06,203.81,183.7,24.5744,1,2001,1.0,2000,2001,3,4
1903,士紙         ,200112,7177,27.6,0.105920416732765,1.8982,3.7964,-0.051089,-0.11847,-0.16128,-0.23691,1.3189,99.53,53.24,3.43,4.9,-18.24,-208.72,-12.6812,-1,2001,1.0,2000,2001,3,5
2912,統一超       ,200112,51330,35.26,0.48448037239818,2.4503,0.34514,0.074715,0.17384,0.02905,0.026004,1.3267,87.88,53.28,21.76,182.7,-8.19,-3.12,-19.5689,-1,2001,1.0,2000,2001,3,6
2352,佳世達       ,200112,69054,40.31,0.685028472661609,1.9521,0.74304,0.043771,0.10151,0.046295,0.041129,1.319,123.29,76.24,5.84,6.29,172.22,-37.78,-10.5929,-1,2001,1.0,2000,2001,3,7
9910,豐泰         ,200112,9068,10.32,0.350776744885893,0.659,0.21087,0.069255,0.091409,0.078867,0.054453,0.31989,200.54,126.22,7.96,22.81,-5.26,10.7,21.0271,1,2001,1.0,2000,2001,3,8
1710,東聯         ,200112,5306,4.27,0.228669482105501,0.36433,0.46769,0.052962,0.077535,0.092249,0.099554,0.46398,113.91,48.75,9.88,7.24,-3.39,12.79,183.6066,1,2001,1.0,2000,2001,3,9
2355,敬鵬         ,200112,9318,16.37,0.758112431327419,0.66626,0.75092,0.086726,0.11537,0.15806,0.13002,0.33032,232.01,216.84,13.82,4.13,50.91,44.65,-24.0684,-1,2001,1.0,2000,2001,3,10
2495,普安         ,200212,5650,12.37,0.806759544661106,0.88993,1.2939,0.17864,0.19682,0.29128,0.28604,0.10176,832.18,624.69,2.04,8.8,-18.05,-15.55,147.696,1,2002,1.0,2001,2002,3,1
2606,裕民         ,200212,7429,4.55,0.894447755567393,0.32593,0.58786,0.012403,0.026133,0.074445,0.047139,1.107,140.68,115.71,0.0,18.71,-67.66,-55.99,203.0769,1,2002,1.0,2001,2002,3,2
1718,中纖         ,200212,7617,4.99,0.628923938652318,0.52471,0.52306,-0.028937,-0.07308,0.04076,-0.072808,1.5255,87.61,49.18,7.16,4.9,-17.11,-7579.13,116.8337,1,2002,1.0,2001,2002,3,3
2014,中鴻         ,200212,7781,5.18,0.906364323265215,0.56489,0.25505,0.069425,0.18757,0.13038,0.084678,1.7018,46.59,8.34,6.55,37.14,375.7,178.84,105.4054,1,2002,1.0,2001,2002,3,4
2610,華航         ,200212,37757,15.0,0.745847484342721,0.81037,0.48031,0.019055,0.066672,0.066834,0.039518,2.499,55.71,29.54,0.0,15.2,58.99,74.75,9.1333,-1,2002,1.0,2001,2002,3,5
2313,華通         ,200212,16008,17.74,0.244165286790279,0.97473,0.90326,-0.035544,-0.075413,-0.022054,-0.069903,1.1217,195.72,134.8,5.77,4.38,-125.76,-216.16,-2.7057,-1,2002,1.0,2001,2002,3,6
2393,億光         ,200212,7848,18.06,0.51015251976525,0.87204,1.0163,0.088278,0.11801,0.13324,0.13757,0.33679,234.19,161.49,4.12,4.06,472.97,967.99,90.9745,1,2002,1.0,2001,2002,3,7
5522,遠雄         ,200212,8029,9.07,0.210145637043552,0.63694,0.48555,0.020049,0.071364,0.10668,0.054483,2.5594,126.89,8.95,0.35,9.5,-31.09,-50.75,30.7607,1,2002,1.0,2001,2002,3,8
2396,精碟         ,200212,8372,13.9,0.557295155804762,0.62444,1.0435,-0.019642,-0.036392,0.032123,-0.060804,0.8528,117.85,93.36,6.75,2.04,-81.7,-139.05,89.7122,1,2002,1.0,2001,2002,3,9
2526,大陸         ,200212,8729,6.17,0.895891573792568,0.33679,0.29507,0.021206,0.048209,0.047178,0.042255,1.2734,121.8,31.5,1.26,5.21,106.63,117.49,31.6045,1,2002,1.0,2001,2002,3,10
1102,亞泥         ,200312,36894,9.17,0.543663232841362,0.46643,1.0338,0.040639,0.079349,0.11776,0.18359,0.95251,99.85,74.85,7.83,3.74,141.46,167.63,36.8593,1,2003,0.7142857142857143,2002,2003,21,1
1605,華新         ,200312,34293,7.93,0.433260561007948,0.47485,0.56602,0.0037329,0.0057797,0.045977,0.0071542,0.54831,155.59,97.36,6.11,8.92,164.57,-66.27,64.691,1,2003,0.7142857142857143,2002,2003,21,2
2315,神達         ,200312,15264,9.06,0.756749210065512,0.54251,0.20009,0.023586,0.059056,0.012045,0.022851,1.5038,101.79,63.25,5.71,5.6,1653.62,28.62,24.7241,1,2003,0.6666666666666666,2002,2003,21,3
2515,中工         ,200312,7535,4.42,0.593361860386109,0.37713,0.541,0.0022488,0.0055702,0.009616,0.0080049,1.477,140.65,25.57,0.56,3.08,-13.33,18.24,26.0181,1,2003,0.6666666666666666,2002,2003,21,4
2903,遠百         ,200312,12387,8.45,0.882486307400298,0.50089,0.10913,0.004029,0.015209,0.026294,0.0042036,2.7749,43.92,32.73,23.89,56.8,95.4,108.96,47.4556,1,2003,0.6190476190476191,2002,2003,21,5
2605,新興         ,200312,9529,9.86,0.561920154265977,0.52419,1.2529,0.078136,0.16603,0.37049,0.41149,1.1249,182.67,171.61,0.0,26.95,79.65,119.09,80.6288,1,2003,0.6190476190476191,2002,2003,21,6
2526,大陸         ,200312,10698,8.12,0.497902942964187,0.44154,0.41942,0.029438,0.066082,0.070272,0.062749,1.2448,125.45,28.94,1.25,5.37,40.73,40.3,26.3547,1,2003,0.6190476190476191,2002,2003,21,7
1722,台肥         ,200312,20286,16.53,0.446530978284814,0.50674,1.994,0.018023,0.029018,0.074762,0.11411,0.6101,923.87,751.47,6.11,9.13,-27.35,-13.12,74.4707,1,2003,0.6190476190476191,2002,2003,21,8
2006,東鋼         ,200312,9746,8.0,0.246228114234641,0.52356,0.28229,0.02102,0.047583,0.053292,0.025661,1.2637,107.86,47.77,5.78,9.09,32.09,59.49,96.0,1,2003,0.6190476190476191,2002,2003,21,9
2010,春源         ,200312,7606,9.32,0.190784648009122,0.55377,0.26606,0.050389,0.1045,0.061593,0.053178,1.0738,159.28,88.94,3.78,4.01,12.99,8.03,37.1245,1,2003,0.6190476190476191,2002,2003,21,10
2328,廣宇         ,200412,9070,17.99,0.552732133178943,1.0785,0.68015,0.076276,0.1112,0.087106,0.076207,0.4579,225.4,202.88,15.95,3.99,117.48,101.73,116.1201,1,2004,1.0,2003,2004,1,1
1527,鑽全         ,200412,10348,39.97,0.772366213613043,1.9817,1.7757,0.17228,0.28532,0.34576,0.25569,0.65614,130.64,104.91,5.07,6.87,19.98,18.08,15.4866,1,2004,1.0,2003,2004,1,2
6244,茂迪         ,200412,9148,36.08,0.548566299856964,1.296,0.70898,0.26696,0.4175,0.21001,0.22838,0.56389,183.06,142.25,7.86,9.63,153.02,154.79,285.061,1,2004,1.0,2003,2004,1,3
2393,億光         ,200412,9113,21.6,0.0487385927822667,1.0112,0.94447,0.13466,0.19641,0.21697,0.18363,0.4585,311.06,231.55,5.89,4.45,34.53,20.13,161.4815,1,2004,1.0,2003,2004,1,4
2014,中鴻         ,200412,25950,17.26,0.271421624417515,1.5101,0.45101,0.053208,0.1189,0.08938,0.035503,1.2347,123.62,14.73,6.51,48.77,37.04,-1.59,-58.8644,-1,2004,1.0,2003,2004,1,5
2023,燁輝         ,200412,25958,15.64,0.505133101798823,0.8328,0.45386,0.072919,0.15234,0.13327,0.083444,1.0892,135.26,88.45,10.37,9.08,29.82,27.67,-45.844,-1,2004,1.0,2003,2004,1,6
