證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用模型,特徵選擇方法,排名
1513,中興電       ,200012,4919,4.82,0.134122932828682,0.41732,0.30997,-0.032724,-0.088945,-0.049461,-0.064658,1.718,146.57,73.62,1.87,4.3,-148.87,-176.61,1.4523,-1,2000,0.9147982486785173,1999,2000,RandomForest,mutual_info,4
2489,瑞軒         ,200012,3941,5.67,0.0484473392532221,0.23305,0.095086,0.0873,0.12361,0.035728,0.050436,0.41589,240.29,203.55,19.23,5.19,55.03,101.53,225.7496,1,2000,0.9144534190895015,1999,2000,RandomForest,mutual_info,5
2379,瑞昱         ,200012,19932,35.13,0.123083747545945,1.5261,1.4595,0.2385,0.32961,0.31664,0.31527,0.38201,488.85,413.77,8.38,7.5,116.21,128.36,199.0037,1,2000,0.9104741612716711,1999,2000,RandomForest,mutual_info,6
2359,所羅門       ,200012,4477,14.95,0.0620452213196326,0.76706,0.31139,0.045883,0.11293,-0.0041517,0.045851,1.4611,105.48,65.87,7.94,5.1,-128.34,32.85,37.4582,1,2000,0.9093524330966192,1999,2000,RandomForest,mutual_info,7
2520,冠德         ,200012,3263,4.37,0.0885274596747204,0.27959,0.36326,0.030661,0.068316,0.11757,0.088752,1.2281,161.98,9.15,0.29,6.6,-8.04,-35.81,-8.4668,-1,2000,0.9084086195225421,1999,2000,RandomForest,mutual_info,8
5801,第一金投     ,200012,4590,36.82,0.101669393624755,2.157,4.2864,0.22127,0.24086,0.54685,0.47855,0.088559,742.71,741.78,0.0,19.23,28.84,32.59,-4.1282,-1,2000,0.9082062015503877,1999,2000,RandomForest,mutual_info,9
1802,台玻         ,200012,33411,13.57,0.0169829383372613,0.64711,0.98763,0.077364,0.095178,0.21985,0.14694,0.23025,353.98,259.27,3.77,6.4,159.2,41.55,-18.2756,-1,2000,0.9040880699683385,1999,2000,RandomForest,mutual_info,10
1402,遠東新       ,200112,41645,6.79,0.0914987313394122,0.42411,0.2847,0.004516,0.010498,0.091331,0.0096335,1.3246,86.27,49.13,7.51,7.54,71.87,127.46,-3.0928,1,2001,1.0,2000,2001,NaiveBayes,mutual_info,1
2458,義隆         ,200112,12745,26.33,0.217563309422821,1.9247,2.1869,0.15612,0.17238,0.21552,0.19589,0.10415,332.16,187.12,5.42,9.71,-30.67,-33.15,-39.7265,-1,2001,1.0,2000,2001,NaiveBayes,mutual_info,2
2379,瑞昱         ,200112,59727,105.04,0.0866665473955323,4.9015,5.0573,0.23375,0.31323,0.33675,0.3232,0.34004,447.02,381.16,5.37,7.22,44.32,39.12,-29.2174,-1,2001,1.0,2000,2001,NaiveBayes,mutual_info,3
6116,彩晶         ,200112,42016,18.16,0.530872257027928,2.1166,2.4674,-0.14967,-0.3592,-0.36232,-0.41831,1.4,95.46,71.96,10.63,7.08,-254.02,-11521.32,-43.0066,-1,2001,0.9999999999998828,2000,2001,NaiveBayes,mutual_info,4
1319,東陽         ,200112,5553,9.16,0.163512368527526,0.7564,0.50109,0.024516,0.060088,0.060952,0.042937,1.451,67.43,50.67,9.74,3.57,1190.5,344.39,121.9432,1,2001,0.9999999999193392,2000,2001,NaiveBayes,mutual_info,5
