年份,前10支股票_年度報酬率(%),前10支股票_累積淨值,所有選中股票_年度報酬率(%),所有選中股票_累積淨值,前10支股票_回撤(%),所有選中股票_回撤(%)
初始,0.0,100000.0,0.0,100000.0,0.0,0.0
1998,20.64035,120640.34999999999,14.73982743362832,114739.82743362832,0.0,0.0
1999,-25.481559999999998,89899.30683054001,-32.46961111111111,77484.25167636923,25.481559999999988,32.469611111111114
2000,48.56966,133563.09450049006,28.075911340206186,99238.66147964889,0.0,13.509838998970206
2001,-12.935390000000002,116286.18733078311,-11.327803038674034,87997.10136901778,12.935390000000002,23.307274084998927
2002,47.72815,171787.43324930026,29.367293983146062,113839.46882470428,0.0,0.7846958018521141
2003,27.52051,219064.21099541726,7.7338525,122643.6454303904,0.0,0.0
2004,45.69046999999999,319155.67860101507,13.765737884615383,139526.448192475,0.0,0.0
2005,35.91361,433776.00430663704,27.82370011111111,178347.86871323406,0.0,0.0
2006,17.84689,511191.5306416378,5.977523684210526,189008.6548058523,0.0,0.0
2007,-45.81410999999999,276993.6804827942,-58.475649999999995,78484.61535187394,45.81411,58.47564999999999
2008,146.06978999999998,681597.7678772825,103.74272099999999,159906.6908842917,0.0,15.397159432436492
