證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,訓練年份,測試年份,使用模型,特徵選擇方法
5346,力晶         ,199812,25638,8.21,0.928854139478045,0.61729,1.7069,-0.098846,-0.18153,-0.40858,-0.50162,0.83653,135.25,111.07,7.65,5.81,-1370.29,-2912.01,216.8088,1,1998,1997,1998,LogisticRegression,f_classif
1314,中石化       ,199812,24635,15.68,0.488608973803579,0.99682,1.8689,0.0030857,0.0073951,-0.010565,0.013857,1.3966,75.06,38.61,8.04,11.12,-117.13,-91.35,-13.4566,-1,1998,1997,1998,LogisticRegression,f_classif
2312,金寶         ,199812,22912,11.84,0.237283579771521,0.71026,0.33315,0.086118,0.1399,0.066304,0.067765,0.62452,132.75,88.58,7.49,8.42,60.27,107.67,102.4493,1,1998,1997,1998,LogisticRegression,f_classif
2401,凌陽         ,199812,22356,25.91,0.458848828179931,1.3474,1.7285,0.19896,0.25028,0.3201,0.34635,0.25792,252.17,227.78,8.96,6.54,-0.65,-18.86,80.2007,1,1998,1997,1998,LogisticRegression,f_classif
2363,矽統         ,199812,21610,40.61,0.546805718738968,2.9642,2.3232,0.16625,0.21422,0.13718,0.16797,0.28852,292.96,261.76,11.49,5.0,1170.63,251.78,154.6171,1,1998,1997,1998,LogisticRegression,f_classif
2332,友訊         ,199812,20268,22.48,0.521135830804002,1.0013,0.66529,0.05936,0.090116,0.062263,0.059878,0.51812,239.01,133.89,2.87,5.53,54.66,8.97,2.0018,-1,1998,1997,1998,LogisticRegression,f_classif
2373,震旦行       ,199812,19670,36.71,0.488897743920167,2.1812,0.96049,0.044909,0.081981,0.032818,0.039347,0.82547,196.92,129.6,6.35,9.49,5.04,-38.0,54.59,1,1998,1997,1998,LogisticRegression,f_classif
2339,合泰         ,199812,19506,20.89,0.62406008817369,1.2494,4.0881,-0.040357,-0.0765,-0.23424,-0.25044,0.89558,177.07,152.0,4.12,4.04,-240.19,-199.5,163.2839,1,1998,1997,1998,LogisticRegression,f_classif
8382,美式         ,199812,19471,52.5,0.679135540865748,12.3239,1.7196,-0.54253,-3.0374,0.042857,-0.4506,4.5985,67.49,16.49,3.31,15.47,61.16,-956.83,-98.4381,-1,1998,1997,1998,LogisticRegression,f_classif
2343,精業         ,199812,19448,21.98,0.395515215668593,0.94701,0.96193,0.085972,0.11469,0.092912,0.1165,0.33399,338.54,234.42,4.25,5.76,57.41,69.82,254.2311,1,1998,1997,1998,LogisticRegression,f_classif
