年份,前10支股票_年度報酬率(%),前10支股票_累積淨值,所有選中股票_年度報酬率(%),所有選中股票_累積淨值,前10支股票_回撤(%),所有選中股票_回撤(%)
初始,0.0,100000.0,0.0,100000.0,0.0,0.0
1998,99.38585,199385.85,25.728409230769234,125728.40923076925,0.0,0.0
1999,-4.894950000000001,189626.012335425,-34.45561851851851,82407.9081768136,4.894949999999998,34.4556185185185
2000,131.71370000000002,439389.44934486976,32.354133093525185,109070.27246792988,0.0,13.249302098672105
2001,47.89302,649826.3261974981,47.89302,161307.31987505005,0.0,0.0
2002,94.57077000000001,1264372.086545184,40.98547764285714,227419.89539873073,0.0,0.0
2003,47.30022,1862422.8650996466,19.84370408163265,272548.42646441335,0.0,0.0
2004,65.19655,3076658.31955577,27.194038705882363,346665.3510494192,0.0,0.0
2005,73.74981,5345687.984577343,25.611641810810816,435452.03904238634,0.0,0.0
2006,53.251850000000005,8192365.731592493,23.271550793650793,536788.4814901234,0.0,0.0
2007,-30.04169,5731240.614841244,-48.93005903508772,274137.5606034551,30.04169,48.93005903508772
2008,190.56506,16652982.73125783,105.06755490196078,562167.1925973863,0.0,0.0
