證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,PE_ratio,PB_ratio,PS_ratio,ROE,ROA,OPM,NPM,DE_ratio,CR,QR,ITR,RTR,OIG,NIG,profitability_score,liquidity_score,efficiency_score,growth_score,valuation_score,predicted_return,訓練年份,測試年份,使用C參數,使用gamma參數,使用epsilon參數
2310,旭麗         ,199812,18849,33.58,0.987982003161633,1.638,0.78458,0.080531,0.1684,0.086352,0.080666,1.0912,165.58,121.75,6.53,7.15,169.24,-59.27,11.2865,1,1998,-0.5665598205932144,1.638,0.78458,0.080531,0.1684,0.086352,0.080666,1.0912,165.58,121.75,6.53,7.15,169.24,-59.27,0.10398725,143.66500000000002,6.84,54.985,1.21129,-16.43350291683783,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1513,中興電       ,199812,6500,6.38,0.584069333278452,0.47154,0.26462,0.047101,0.13329,0.033084,0.074803,1.8298,150.35,50.01,2.12,6.71,-8.29,125.51,-3.1348,-1,1998,0.05083260257483386,0.47154,0.26462,0.047101,0.13329,0.033084,0.074803,1.8298,150.35,50.01,2.12,6.71,-8.29,125.51,0.0720695,100.17999999999999,4.415,58.61,0.36808,-16.665942532852576,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
5604,中連         ,199812,6678,13.12,0.730248792267598,0.91684,1.5046,0.042965,0.064843,0.14661,0.10642,0.50922,257.01,250.91,0.0,4.89,-3.79,-5.58,-51.2957,-1,1998,-2.351254901658584,0.91684,1.5046,0.042965,0.064843,0.14661,0.10642,0.50922,257.01,250.91,0.0,4.89,-3.79,-5.58,0.0902095,253.95999999999998,2.445,-4.6850000000000005,1.21072,-16.845336106123423,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
2102,泰豐         ,199812,10923,26.88,0.518594942510538,2.0395,1.8348,0.094047,0.15343,-0.0082076,0.13804,0.63148,108.57,80.25,8.21,5.72,-270.16,117.41,-35.1935,-1,1998,0.22894131480332752,2.0395,1.8348,0.094047,0.15343,-0.0082076,0.13804,0.63148,108.57,80.25,8.21,5.72,-270.16,117.41,0.09432735,94.41,6.965,-76.37500000000001,1.93715,-16.88055104542276,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1515,力山         ,199812,8887,31.45,0.489687638016024,1.9342,1.12,0.096333,0.15319,0.16454,0.095599,0.59025,167.67,104.51,7.08,8.39,218.67,143.48,-30.5246,-1,1998,0.21919431126850913,1.9342,1.12,0.096333,0.15319,0.16454,0.095599,0.59025,167.67,104.51,7.08,8.39,218.67,143.48,0.1274155,136.09,7.735,181.075,1.5271,-17.048092296678824,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1717,長興         ,199812,14452,9.72,0.197809826685929,0.50077,0.30065,0.065363,0.12739,0.101,0.076487,0.94899,134.55,90.4,5.71,4.36,12.6,2.42,8.2305,-1,1998,4.016527265897824,0.50077,0.30065,0.065363,0.12739,0.101,0.076487,0.94899,134.55,90.4,5.71,4.36,12.6,2.42,0.09256,112.47500000000001,5.035,7.51,0.40071,-17.110911457056233,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
2314,台揚         ,199812,6462,13.49,0.906308150649733,1.3278,1.3009,0.028437,0.043116,0.0060505,0.042248,0.51621,200.56,100.46,2.43,5.23,107.77,113.23,158.9325,1,1998,0.11913803657036089,1.3278,1.3009,0.028437,0.043116,0.0060505,0.042248,0.51621,200.56,100.46,2.43,5.23,107.77,113.23,0.029962875,150.51,3.83,110.5,1.3143500000000001,-17.21885682995208,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1710,東聯         ,199812,9988,7.72,0.133171007607162,0.63331,1.0997,0.051888,0.068905,0.12195,0.11959,0.32794,105.85,61.99,9.22,6.75,-33.72,-38.95,9.5855,1,1998,-0.19820282922215218,0.63331,1.0997,0.051888,0.068905,0.12195,0.11959,0.32794,105.85,61.99,9.22,6.75,-33.72,-38.95,0.09058325,83.92,7.985,-36.335,0.866505,-17.56953877662545,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1726,永記         ,199812,9451,32.54,0.291984079961715,1.3496,0.818,0.13722,0.1788,0.13472,0.10837,0.30302,320.54,227.65,5.52,3.87,-17.74,-6.42,-25.5993,-1,1998,-5.068536615036856,1.3496,0.818,0.13722,0.1788,0.13472,0.10837,0.30302,320.54,227.65,5.52,3.87,-17.74,-6.42,0.1397775,274.095,4.695,-12.079999999999998,1.0837999999999999,-17.970162394787806,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
9933,中鼎         ,199812,16435,14.6,0.13655313735537,0.95675,0.37075,0.075541,0.17864,0.061351,0.06924,1.3648,127.55,78.95,4.37,11.13,81.76,127.25,-43.5616,-1,1998,0.11473477316514913,0.95675,0.37075,0.075541,0.17864,0.061351,0.06924,1.3648,127.55,78.95,4.37,11.13,81.76,127.25,0.096193,103.25,7.75,104.505,0.6637500000000001,-18.055235496997827,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
1520,D 復盛       ,199812,11971,11.86,0.0424311375007417,0.76665,0.41252,0.088939,0.23287,0.14902,0.14058,1.6183,82.23,36.46,2.4,7.63,38.47,5.38,-24.7892,-1,1998,2.204460556791718,0.76665,0.41252,0.088939,0.23287,0.14902,0.14058,1.6183,82.23,36.46,2.4,7.63,38.47,5.38,0.15285225000000002,59.345,5.015,21.925,0.589585,-18.074789742462137,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
2347,聯強         ,199812,35750,20.73,0.22174673401724,0.65893,0.12256,0.08039,0.14009,0.033555,0.026247,0.74268,194.03,127.7,11.67,10.33,54.95,62.02,89.918,1,1998,0.33424701170191856,0.65893,0.12256,0.08039,0.14009,0.033555,0.026247,0.74268,194.03,127.7,11.67,10.33,54.95,62.02,0.07007050000000001,160.865,11.0,58.485,0.390745,-18.191109307481657,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
2010,春源         ,199812,6249,4.82,0.312718886820616,0.38254,0.22779,0.018024,0.030356,0.024059,0.018082,0.68421,160.7,87.62,3.32,3.94,-5.24,185.14,5.6017,-1,1998,0.026034352241361393,0.38254,0.22779,0.018024,0.030356,0.024059,0.018082,0.68421,160.7,87.62,3.32,3.94,-5.24,185.14,0.02263025,124.16,3.63,89.94999999999999,0.305165,-18.292473789518866,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
2321,東訊         ,199812,7369,22.22,0.156404952226563,1.5126,0.45062,0.083098,0.14814,0.029627,0.047433,0.78275,156.07,86.4,5.31,6.01,101.32,53.11,72.1872,1,1998,0.4183769456151959,1.5126,0.45062,0.083098,0.14814,0.029627,0.047433,0.78275,156.07,86.4,5.31,6.01,101.32,53.11,0.0770745,121.235,5.66,77.215,0.98161,-18.37863645934703,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
2106,建大         ,199812,9818,14.46,0.83137974283907,0.91461,0.64439,0.077474,0.13447,0.13114,0.094758,0.73571,148.67,105.47,4.47,4.55,49.33,42.21,-26.7635,-1,1998,0.34257284191962,0.91461,0.64439,0.077474,0.13447,0.13114,0.094758,0.73571,148.67,105.47,4.47,4.55,49.33,42.21,0.10946050000000002,127.07,4.51,45.769999999999996,0.7795000000000001,-18.420371946052764,1997,1998,827.0129601686981,7.316551594207962,0.055878025372820814
