證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,PE_ratio,PB_ratio,PS_ratio,ROE,ROA,OPM,NPM,DE_ratio,CR,QR,ITR,RTR,OIG,NIG,profitability_score,liquidity_score,efficiency_score,growth_score,valuation_score,predicted_return,訓練年份,測試年份,使用C參數,使用gamma參數,使用epsilon參數,排名
2430,燦坤         ,199812,7337,16.83,0.644764536870088,0.88069,0.19611,0.048672,0.13615,0.10022,0.046043,1.7974,126.03,73.12,3.5,10.7,30.78,23.53,-12.7748,-1,1998,0.7152570881743693,0.88069,0.19611,0.048672,0.13615,0.10022,0.046043,1.7974,126.03,73.12,3.5,10.7,30.78,23.53,0.08277125,99.575,7.1,27.155,0.5384,-2.8115676367983333,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,11
2373,震旦行       ,199812,19670,36.71,0.488897743920167,2.1812,0.96049,0.044909,0.081981,0.032818,0.039347,0.82547,196.92,129.6,6.35,9.49,5.04,-38.0,54.59,1,1998,-0.9660526570013857,2.1812,0.96049,0.044909,0.081981,0.032818,0.039347,0.82547,196.92,129.6,6.35,9.49,5.04,-38.0,0.04976375,163.26,7.92,-16.48,1.570845,-6.562263684313866,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,12
5901,中友         ,199812,6252,13.95,0.425259320214135,1.041,0.71575,0.012937,0.037731,0.072359,0.025929,1.9166,95.47,21.76,1.47,12.64,81.46,-36.49,-80.3584,-1,1998,-0.3822965300711572,1.041,0.71575,0.012937,0.037731,0.072359,0.025929,1.9166,95.47,21.76,1.47,12.64,81.46,-36.49,0.037239,58.615,7.055000000000001,22.484999999999996,0.8783749999999999,-6.620878919805792,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,13
1447,力鵬         ,199812,7294,11.15,0.190923695236303,0.69906,1.298,0.043868,0.054234,0.085136,0.10069,0.23631,221.97,173.33,4.9,7.53,-27.0,-39.81,-19.3722,-1,1998,-0.2800803888490426,0.69906,1.298,0.043868,0.054234,0.085136,0.10069,0.23631,221.97,173.33,4.9,7.53,-27.0,-39.81,0.070982,197.65,6.215,-33.405,0.99853,-6.626779393396173,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,14
1515,力山         ,199812,8887,31.45,0.489687638016024,1.9342,1.12,0.096333,0.15319,0.16454,0.095599,0.59025,167.67,104.51,7.08,8.39,218.67,143.48,-30.5246,-1,1998,0.21919431126850913,1.9342,1.12,0.096333,0.15319,0.16454,0.095599,0.59025,167.67,104.51,7.08,8.39,218.67,143.48,0.1274155,136.09,7.735,181.075,1.5271,-7.079082482218931,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,15
2313,華通         ,199812,90850,101.36,0.207742292733028,4.0334,2.504,0.15335,0.27669,0.2374,0.17175,0.80433,148.86,112.09,8.4,6.01,97.77,28.46,5.8307,-1,1998,3.561489685119828,4.0334,2.504,0.15335,0.27669,0.2374,0.17175,0.80433,148.86,112.09,8.4,6.01,97.77,28.46,0.20979750000000003,130.47500000000002,7.205,63.114999999999995,3.2687,-8.040213813689316,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,16
2368,金像電       ,199812,14893,26.19,0.334163052737496,0.74151,0.83275,0.078152,0.1046,0.12214,0.11746,0.33843,204.37,177.12,10.78,4.92,15.23,11.61,-8.0565,-1,1998,2.2558137591891683,0.74151,0.83275,0.078152,0.1046,0.12214,0.11746,0.33843,204.37,177.12,10.78,4.92,15.23,11.61,0.105588,190.745,7.85,13.42,0.78713,-8.299285471526886,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,17
1109,信大         ,199812,8077,11.66,0.539126465042857,0.89417,1.8837,0.042862,0.051115,0.15969,0.11021,0.19256,312.3,272.98,6.32,3.39,33.1,-39.45,-32.8473,-1,1998,-0.29556401256182535,0.89417,1.8837,0.042862,0.051115,0.15969,0.11021,0.19256,312.3,272.98,6.32,3.39,33.1,-39.45,0.09096925,292.64,4.855,-3.1750000000000007,1.388935,-8.78775710088202,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,18
9933,中鼎         ,199812,16435,14.6,0.13655313735537,0.95675,0.37075,0.075541,0.17864,0.061351,0.06924,1.3648,127.55,78.95,4.37,11.13,81.76,127.25,-43.5616,-1,1998,0.11473477316514913,0.95675,0.37075,0.075541,0.17864,0.061351,0.06924,1.3648,127.55,78.95,4.37,11.13,81.76,127.25,0.096193,103.25,7.75,104.505,0.6637500000000001,-9.172739963130851,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,19
2314,台揚         ,199812,6462,13.49,0.906308150649733,1.3278,1.3009,0.028437,0.043116,0.0060505,0.042248,0.51621,200.56,100.46,2.43,5.23,107.77,113.23,158.9325,1,1998,0.11913803657036089,1.3278,1.3009,0.028437,0.043116,0.0060505,0.042248,0.51621,200.56,100.46,2.43,5.23,107.77,113.23,0.029962875,150.51,3.83,110.5,1.3143500000000001,-11.693880411700166,1997,1998,566.4638298688589,6.466637789954882,0.02993887268770193,20
