特徵名稱,使用次數,使用率(%)
股價淨值比,10,90.9090909090909
股價營收比,9,81.81818181818183
M淨值報酬率─稅後,7,63.63636363636363
資產報酬率ROA,7,63.63636363636363
市值(百萬元),5,45.45454545454545
收盤價(元)_年,5,45.45454545454545
營業利益率OPM,3,27.27272727272727
M流動比率,3,27.27272727272727
M存貨週轉率 (次),3,27.27272727272727
M應收帳款週轉次,3,27.27272727272727
M營業利益成長率,3,27.27272727272727
M稅後淨利成長率,3,27.27272727272727
Unknown masked parameter,2,18.181818181818183
利潤邊際NPM,2,18.181818181818183
負債/淨值比,2,18.181818181818183
M速動比率,2,18.181818181818183
