證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unnamed: 5,股本(億),平均股價(元),營業收入(億),稅後淨利(億),營業利益率(%),ROE(%),稅後淨利率(%),ROA(%),M營業利益成長率,M稅後淨利成長率,PER,PBR,負債/淨值比,流動比率,速動比率,應收帳款周轉次,存貨周轉率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用K值,排名
2303,聯電,2018,1863000.0,11.25,,1242,15.0,1513,70.7,3.83,1.26,4.672835426305354,0.7,-11.7,-26.5,25.8,0.87,76.53,283.0,218.2,6.47,7.04,-20.77464788732394,-1.0,2018,1.0,2017,2018,1,1
1303,南亞,2018,6447089.999999999,75.5,,793,81.3,3331,527.0,8.83,14.0,15.82107475232663,9.45,-1.44,-3.26,12.2,1.72,47.39,257.1,192.1,5.17,6.33,-3.080872913992305,1.0,2018,0.0,2017,2018,1,2
2002,中鋼,2018,3806660.0,24.25,,1573,24.2,4007,245.0,8.38,8.27,6.114299975043673,4.16,+34.7,+44.7,15.3,1.2,0.17,11.77,3.27,87.81,7.83,-2.02020202020202,1.0,2018,0.0,2017,2018,1,3
1303,南亞,2019,5844410.000000001,72.8,,793,73.7,2863,231.0,3.45,6.25,8.06845965770171,4.13,-66.4,-56.3,25.3,1.7,56.0,224.5,169.5,5.28,5.7,-3.576158940397355,-1.0,2019,1.0,2018,2019,1,1
2002,中鋼,2019,3806660.0,23.9,,1573,24.2,3662,88.1,3.43,3.06,2.405789186237029,1.54,-62.5,-64,42.5,1.24,-0.03,11.18,-3.09,92.4,7.85,-1.443298969072171,-1.0,2019,1.0,2018,2019,1,2
2303,聯電,2019,1558760.0,16.45,,1172,13.3,1482,97.1,3.16,2.96,6.55195681511471,1.67,-19.1,+37.2,16.2,0.75,78.65,211.5,168.9,5.82,6.36,46.22222222222221,1.0,2019,0.0,2018,2019,1,3
1303,南亞,2020,5051410.000000001,71.9,,793,63.7,2734,257.0,7.76,7.55,9.400146305779078,4.72,+115,+11.4,19.7,1.47,63.97,174.2,136.2,4.74,5.65,-1.236263736263725,-1.0,2020,0.0,2019,2020,1,1
2002,中鋼,2020,3334760.0,24.75,,1573,21.2,3148,8.86,0.73,0.69,0.2814485387547649,0.35,-81.7,-89.9,425.0,1.12,0.04,11.93,-2.74,95.2,7.38,3.556485355648542,-1.0,2020,0.0,2019,2020,1,2
2303,聯電,2020,2844180.0,47.15,,1242,22.9,1768,292.0,12.4,12.3,16.5158371040724,7.27,+369,+201,9.45,1.2,60.12,210.0,159.1,6.39,6.23,186.6261398176292,1.0,2020,0.0,2019,2020,1,3
1303,南亞,2021,6589829.999999999,85.4,,793,83.1,4117,813.0,19.7,21.6,19.74738887539471,13.5,+282,+216,8.11,1.59,55.97,224.5,168.8,6.09,6.24,18.77607788595271,-1.0,2021,0.0,2020,2021,1,1
2002,中鋼,2021,5222360.000000001,35.35,,1573,33.2,4683,621.0,17.0,19.4,13.26073030108905,10.4,"+3,373","+6,905",8.27,1.45,0.4,14.8,19.76,79.65,7.47,42.82828282828283,1.0,2021,0.0,2020,2021,1,2
2303,聯電,2021,7038720.0,65.0,,1248,56.4,2130,558.0,24.3,21.3,26.19718309859155,13.1,+135,+91.1,12.3,2.51,65.16,221.2,196.6,6.56,6.19,37.85790031813362,1.0,2021,0.0,2020,2021,1,3
2002,中鋼,2022,5017870.0,29.8,,1573,31.9,4496,178.0,4.06,4.84,3.959074733096085,2.62,-77.1,-71.3,27.8,1.52,0.37,18.28,-7.78,92.9,8.33,-15.7001414427157,1.0,2022,1.0,2021,2022,1,1
2303,聯電,2022,5775000.0,40.7,,1250,46.2,2787,872.0,37.4,28.5,31.28812343021169,17.6,+102,+56.3,6.51,1.72,58.91,232.5,200.6,7.45,5.66,-37.38461538461538,-1.0,2022,1.0,2021,2022,1,2
1303,南亞,2022,6177470.0,71.0,,793,77.9,3552,321.0,9.02,9.35,9.037162162162163,5.77,-60.5,-60.5,19.2,1.65,68.82,142.6,108.0,5.47,5.45,-16.86182669789228,1.0,2022,0.0,2021,2022,1,3
2002,中鋼,2023,4451590.0,27.0,,1573,28.3,3633,16.8,0.99,1.01,0.4624277456647399,0.52,-80.4,-90.5,257.0,1.4,-1.01,9.79,-4.09,95.38,8.65,-9.395973154362418,-1.0,2023,1.0,2022,2023,1,1
2303,聯電,2023,6114639.999999999,52.6,,1253,48.8,2225,610.0,26.0,17.7,27.41573033707865,11.3,-44.5,-30.1,9.89,1.7,55.51,219.0,179.7,6.26,4.34,29.23832923832923,1.0,2023,1.0,2022,2023,1,2
1303,南亞,2023,5693739.999999999,66.5,,793,71.8,2598,63.1,0.76,2.1,2.428791377983064,1.23,-93.8,-80.3,89.8,1.58,71.98,169.1,125.3,5.05,4.65,-6.338028169014084,-1.0,2023,0.0,2022,2023,1,3
2303,聯電,2024,6405600.0,43.05,,1256,51.0,2323,472.0,22.2,12.8,20.31855359448988,8.34,-10.8,-22.6,13.4,1.69,50.77,252.0,200.5,6.9,4.38,-18.15589353612168,1.0,2024,1.0,2023,2024,1,1
1303,南亞,2024,3933280.0,29.9,,793,49.6,2596,33.4,0.17,0.89,1.286594761171032,0.52,-77.4,-47.1,118.0,1.13,70.29,131.9,90.55,5.78,4.71,-55.03759398496241,-1.0,2024,0.0,2023,2024,1,2
2002,中鋼,2024,3665090.0,19.65,,1573,23.3,3605,19.8,0.5,1.13,0.549237170596394,0.56,-50,+17.6,179.0,1.17,0.27,12.13,-0.22,95.82,8.22,-27.22222222222222,1.0,2024,0.0,2023,2024,1,3
